Datum;Preis
16/9/2020;30.21
17/9/2020;30.40
18/9/2020;31.50
21/9/2020;30.80
22/9/2020;30.70
23/9/2020;30.70
24/9/2020;30.70
25/9/2020;31.00
28/9/2020;31.30
29/9/2020;31.60
30/9/2020;31.20
1/10/2020;31.50
2/10/2020;30.70
5/10/2020;30.90
6/10/2020;31.60
7/10/2020;32.20
8/10/2020;32.50
9/10/2020;33.00
12/10/2020;32.50
13/10/2020;32.10
14/10/2020;32.10
15/10/2020;32.10
16/10/2020;32.30
19/10/2020;32.00
20/10/2020;31.70
21/10/2020;31.60
22/10/2020;31.20
23/10/2020;31.30
26/10/2020;30.60
27/10/2020;30.50
28/10/2020;30.60
29/10/2020;30.00
30/10/2020;30.30
2/11/2020;29.55
3/11/2020;30.70
4/11/2020;30.90
5/11/2020;31.20
6/11/2020;30.80
9/11/2020;30.80
10/11/2020;32.00
11/11/2020;33.10
12/11/2020;32.40
13/11/2020;32.00
16/11/2020;32.10
17/11/2020;32.00
18/11/2020;32.30
19/11/2020;32.30
20/11/2020;32.30
23/11/2020;32.50
24/11/2020;32.80
25/11/2020;33.20
26/11/2020;34.40
27/11/2020;34.50
30/11/2020;34.50
1/12/2020;34.90
2/12/2020;34.40
3/12/2020;34.90
4/12/2020;35.40
7/12/2020;35.40
8/12/2020;35.50
9/12/2020;36.20
10/12/2020;36.30
11/12/2020;37.00
14/12/2020;37.40
15/12/2020;37.50
16/12/2020;37.50
17/12/2020;38.00
18/12/2020;38.60
21/12/2020;38.00
22/12/2020;38.40
23/12/2020;38.50
28/12/2020;39.00
29/12/2020;39.00
30/12/2020;39.00
4/1/2021;45.40
5/1/2021;44.53
6/1/2021;0.00
7/1/2021;44.80
8/1/2021;44.68
11/1/2021;44.29
12/1/2021;44.70
13/1/2021;44.60
14/1/2021;44.20
15/1/2021;43.70
18/1/2021;42.90
19/1/2021;42.58
20/1/2021;42.66
21/1/2021;42.27
22/1/2021;41.74
25/1/2021;41.60
26/1/2021;41.70
27/1/2021;41.80
28/1/2021;42.00
29/1/2021;42.06
1/2/2021;42.43
2/2/2021;43.49
3/2/2021;44.70
4/2/2021;45.40
5/2/2021;46.39
8/2/2021;47.30
9/2/2021;48.56
10/2/2021;48.73
